Ref,Qty1,Qty3,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
R14,1,3,RLC-0603-SMD,Wickerlib,RES-470-5%-1/4W-0603,wickerlib,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
R15,1,3,RLC-0603-SMD,Wickerlib,RES-97.6K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF9762V,Digikey,P97.6KHCT-ND,
R17,1,3,RLC-0603-SMD,Wickerlib,RES-68-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF68R0V,Digikey,P68.0HCT-ND,
R18 R19,2,6,RLC-0603-SMD,Wickerlib,RES-91K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF9102V,Digikey,P91.0KHCT-ND,
R2,1,3,RLC-0603-SMD,Wickerlib,RES-64.9K-1%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF6492V+7+WW,Panasonic,ERJ-3EKF6492V,Digikey,P64.9KHCT-ND,
R20 R21,2,6,RLC-0805-SMD,Wickerlib,RES-220K-5%-1/8W-0805,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ224V+7+WW,Panasonic,ERJ-6GEYJ224V,Digikey,P220KACT-ND,
R22 R26,2,6,RLC-0603-SMD,Wickerlib,RES-2.2K-5%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ222V+7+WW,Panasonic,ERJ-3GEYJ222V,Digikey,P2.2KGCT-ND,
R24 R28,2,6,RLC-0603-SMD,Wickerlib,RES-22K-5%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ222V+7+WW,Panasonic,ERJ-3GEYJ223V,Digikey,P22KGCT-ND,
R25 R29,2,6,RLC-0603-SMD,Wickerlib,RES-4.32K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF4321V,Digikey,P4.32KHCT-ND,
R27,1,3,RLC-0603-SMD,Wickerlib,RES-2.94K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF2941V,Digikey,P2.94KHCT-ND,
R3 R4,2,6,RLC-0603-SMD,Wickerlib,RES-100K-1%-1/10W-0603,wickerlib,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole,RMCF0603FG100K,Digikey,RMCF0603FG100KCT-ND,
R30 R6,2,6,RLC-0603-SMD,Wickerlib,RES-3.83K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF3831V,Digikey,P3.83KHCT-ND,
R31,1,3,RLC-0603-SMD,Wickerlib,RES-0.0-JUMPER-1/8W-0603,wickerlib,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R5,1,3,RLC-0603-SMD,Wickerlib,RES-1.87K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF1871V,Digikey,P1.87KHCT-ND,
R7,1,3,RLC-0603-SMD,Wickerlib,RES-10-1%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF10R0V+7+WW,Panasonic,ERJ-3EKF10R0V,Digikey,P10.0HCT-ND,
R9,1,3,RLC-0603-SMD,Wickerlib,RES-1.02K-1%-1/10W-0603,wickerlib,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,Yageo,RC0603FR-071K02L,Digikey,311-1.02KHRCT-ND,
S1,1,3,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P,Wickerlib,SWITCH-MOMENT-SPST-NO-0.05A-12V-SMT-B3U-1000P,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,Omron,B3U-1000P,Digikey,SW1020CT-ND,
U1 U2,2,6,SOIC-14-3.9x8.7MM-P1.27MM,Wickerlib,IC-OPAMP-QUAD-MCP6004-SOIC14,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011705,Microchip,MCP6004T-I/SL,Digikey,MCP6004T-I/SLCT-ND,
U3,1,3,SOIC-14-3.9x8.7MM-P1.27MM,Wickerlib,IC-OPAMP-QUAD-TLV274-SOIC14,wickerlib,http://www.ti.com/lit/ds/symlink/tlv272.pdf,TI,TLV274CDR,Digikey,296-39258-1-ND,
U4,1,3,SOT-23-5,Wickerlib,IC-OPAMP-MCP6001SOT-23-5,wickerlib,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en011705,Microchip,MCP6001T-I/OT,Digikey,MCP6001T-I/OTCT-ND,
U5,1,3,ARDUINO-UNO-SHIELD,Wickerlib,ARDUINO-101-SHIELD,mcphail-zero-analog-shield-cache,https://www.adafruit.com/products/3033,Arduino,ARDUINO ZERO,Adafruit,2843,
