Refdes,Quantity,Description,Manufacturer,MPN
J1,1,HEADER MALE 2POS TH 1x02 0.1IN,Harwin,M20-9990246
LED1 LED10 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9,10,LED IR 850NM TH SFH4356,OSRAM Opto,SFH 4356
