Ref,Qty,Qty3,Description,Digikey PN
J1,1,30,HEADER MALE 2POS TH 1x02 0.1IN,952-2262-ND
LED1 LED10 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9,10,30,PHOTODIODE IR 940NM SMD TEMD5110X01,751-1048-1-ND
