Ref,Qty,Qty3,Description,MF,MF_PN,S1,S1_PN,Type
J1,1,3,HEADER MALE 2POS TH 1x02 0.1IN,Harwin,M20-9990246,Digikey,952-2262-ND,
LED1 LED10 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9,10,30,PHOTODIODE IR 940NM SMD TEMD5110X01,Vishay,TEMD5110X01,Digikey,751-1048-1-ND,
