Ref,Qty,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Type
F1,1,RLC-1812-SMD,Wickerlib,FUSE-RESET-500MA-15V-MF-MSMF,wickerlib,http://www.bourns.com/docs/Product-Datasheets/mfmsmf.pdf,Bourns,MF-MSMF050-2,Digikey,MF-MSMF050-2CT-ND,
FID1 FID2 FID3,3,FIDUCIAL-2MM,Wickerlib,FIDUCIAL,wickerlib,,,,,,
J1 J2,2,CONN-HEADER-STRAIGHT-P2.54MM-1x02,Wickerlib,HEADER-MALE-2POS-TH-1x02-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-9990246,Digikey,952-2262-ND,
J3,1,CONN-HEADER-STRAIGHT-P2.54MM-1x06,Wickerlib,HEADER-MALE-KK100-1x06-0.1IN-SHROUD-TH,wickerlib,http://www.molex.com/pdm_docs/sd/022232061_sd.pdf,Molex,0022232061,Digikey,WM4204-ND ,
J4,1,CONN-SD-MICRO-MOLEX-0475710001,Wickerlib,CONN-MICRO-SD-CARD-PUSH-PULL,wickerlib,http://www.molex.com/pdm_docs/sd/5009010801_sd.pdf,Molex,0475710001,Digikey,WM9731CT-ND,
J5,1,CONN-USB-MICRO-B-AMPHENOL-10118193-0001LF,Wickerlib,CONN-USB-MICRO-B-10118193,wickerlib,http://portal.fciconnect.com/Comergent//fci/drawing/10118193.pdf,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J6,1,CONN-HEADER-STRAIGHT-P2.54MM-2x03,Wickerlib,HEADER-FEMALE-6POS-TH-2x3-P0.1IN,wickerlib,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=215079&DocType=Customer+Drawing&DocLang=English,TE Conn,7-215079-6,Digikey,A30729CT-ND,
J7,1,BREAKOUT-ADAFRUIT-FONA808-CELL-GPS,Wickerlib,ADAFRUIT-FONA-808-GPS,wickerlib,https://www.adafruit.com/products/2542,Adafruit,FONA808+GPS,Adafruit,2542,
J8,1,CONN-BARREL-JACK-2.5x5.5MM-TH,Wickerlib,CONN-PWR-JACK-2.5X5.5MM-HIGH-CUR,wickerlib,http://www.cui.com/product/resource/digikeypdf/pj-202bh.pdf,CUI,PJ-202BH,Digikey,PJ-202BH,
J9,1,CONN-JST-S2B-PH-SM4-TB,Wickerlib,HEADER-FEMALE-2POS-TH-1x02-JST-PH,wickerlib,http://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST,S2B-PH-K-S(LF)(SN,Digikey,455-1719-ND,
L1 L3 L4,3,RLC-0805-SMD,Wickerlib,FERRITE-BEAD-30-OHM-0805-1LN,wickerlib,http://www.bourns.com/docs/Product-Datasheets/mh.pdf,Bourns,MH2029-300Y,Digikey,MH2029-300YCT-ND,
L2,1,1226AS-H-1R0N,Wickerlib,FIXED-IND-1UH-3.3A-1226AS-H-1R0N-SMD,wickerlib,http://www.toko.co.jp/products/pdf/inductors/dem2815c.pdf,Murata,1226AS-H-1R0N=P2,Digikey,490-14149-1-ND,
LED1 LED2 LED3,3,LED-0603-SMD,Wickerlib,LED-AMBER-0603-SMT-L296-Q2R2,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LSLALOLY_296.pdf,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,
R1,1,RLC-0603-SMD,Wickerlib,RES-220-5%-1/10W-0603,wickerlib,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_04.pdf,Yageo,RC0603JR-0722RL,Digikey,311-220GRCT-ND,
R10,1,RLC-0603-SMD,Wickerlib,RES-732-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF7320V,Digikey,P732HCT-ND,
R11 R8,2,RLC-0603-SMD,Wickerlib,RES-1.43K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF1431V,Digikey,P1.43KHCT-ND,
R12 R16 R23,3,RLC-0603-SMD,Wickerlib,RES-2.26K-1%-1/10W-0603,wickerlib,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,Yageo,RC0603FR-072K26L,Digikey,311-2.26KHRCT-ND,
R13 R33 R36,3,RLC-0603-SMD,Wickerlib,RES-10K-1%-1/8W-0603,wickerlib,http://www.seielect.com/catalog/SEI-RNCP.pdf,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R14 R39 R40 R41,4,RLC-0603-SMD,Wickerlib,RES-470-5%-1/4W-0603,wickerlib,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,
R15,1,RLC-0603-SMD,Wickerlib,RES-97.6K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF9762V,Digikey,P97.6KHCT-ND,
R17,1,RLC-0603-SMD,Wickerlib,RES-68-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF68R0V,Digikey,P68.0HCT-ND,
R18 R19,2,RLC-0603-SMD,Wickerlib,RES-91K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF9102V,Digikey,P91.0KHCT-ND,
R2,1,RLC-0603-SMD,Wickerlib,RES-64.9K-1%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0002+ERJ3EKF6492V+7+WW,Panasonic,ERJ-3EKF6492V,Digikey,P64.9KHCT-ND,
R20 R21,2,RLC-0805-SMD,Wickerlib,RES-220K-5%-1/8W-0805,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ6GEYJ224V+7+WW,Panasonic,ERJ-6GEYJ224V,Digikey,P220KACT-ND,
R22 R26,2,RLC-0603-SMD,Wickerlib,RES-2.2K-5%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ222V+7+WW,Panasonic,ERJ-3GEYJ222V,Digikey,P2.2KGCT-ND,
R24 R28,2,RLC-0603-SMD,Wickerlib,RES-22K-5%-1/10W-0603,wickerlib,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ3GEYJ222V+7+WW,Panasonic,ERJ-3GEYJ223V,Digikey,P22KGCT-ND,
R25 R29,2,RLC-0603-SMD,Wickerlib,RES-4.32K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF4321V,Digikey,P4.32KHCT-ND,
R27,1,RLC-0603-SMD,Wickerlib,RES-2.94K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF2941V,Digikey,P2.94KHCT-ND,
R3 R4 R44,3,RLC-0603-SMD,Wickerlib,RES-100K-1%-1/10W-0603,wickerlib,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole,RMCF0603FG100K,Digikey,RMCF0603FG100KCT-ND,
R30 R6,2,RLC-0603-SMD,Wickerlib,RES-3.83K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF3831V,Digikey,P3.83KHCT-ND,
R31,1,RLC-0603-SMD,Wickerlib,RES-330-5%-1/10W-0603,wickerlib,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,Yageo,RC0603JR-07330RL,Digikey,311-330GRCT-ND,
R32 R37,2,RLC-0603-SMD,Wickerlib,RES-1K-1%-1/10W-0603,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/RC_Series_ds.pdf,Samsung,RC1608F102CS,Digikey,1276-3484-1-ND,
R34 R35 R43,3,RLC-0603-SMD,Wickerlib,RES-2K-1%-1/8W-0603,wickerlib,http://www.seielect.com/catalog/SEI-RNCP.pdf,Stackpole,RNCP0603FTD2K00,Digikey,RNCP0603FTD2K00CT-ND,
R38,1,RLC-0603-SMD,Wickerlib,RES-0.0-JUMPER-1/8W-0603,wickerlib,http://www.vishay.com/docs/28705/mcx0x0xpro.pdf,Vishay,MCT06030Z0000ZP500,Digikey,MCT0603-0.0-ZZCT-ND,
R42,1,RLC-0402-SMD,Wickerlib,THERM-NTC-10K-1%-0402,wickerlib,https://product.tdk.com/info/en/catalog/datasheets/tpd_ntc-thermistor_ntcg_en.pdf,Samsung,NTCG103JF103FT1,Digikey,445-2550-1-ND,
R45 R47,2,RLC-0603-SMD,Wickerlib,RES-1M-5%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3GEYJ105V,Digikey,P1.0MGCT-ND,
R46,1,RLC-0603-SMD,Wickerlib,RES-111K-5%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3GEYJ111V,Digikey,P110GCT-ND,
R5,1,RLC-0603-SMD,Wickerlib,RES-1.87K-1%-1/10W-0603,wickerlib,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C298.pdf,Panasonic,ERJ-3EKF1871V,Digikey,P1.87KHCT-ND,
